"order_id";"unique_order_no";"order_date";"ship_date";"ship_mode";"sales";"quantity";"profit";"Pack";"return_id";"product_id";"customer_id";"order_key";"ship_key";"location_id"
20;"CA-2019-100307";"2019-12-15";"2019-12-19";"Standard Class";19.44;3;9.3312;"Low";8;1139;726;"2019-12-15";"2019-12-19";150
21;"CA-2019-100468";"2019-11-24";"2019-12-01";"Standard Class";9.94;2;3.0814;"Low";9;134;58;"2019-11-24";"2019-12-01";271
22;"CA-2019-100468";"2019-11-24";"2019-12-01";"Standard Class";9.94;2;3.0814;"Low";10;134;58;"2019-11-24";"2019-12-01";271
23;"CA-2019-100468";"2019-11-24";"2019-12-01";"Standard Class";33.52;2;3.352;"Low";9;1647;58;"2019-11-24";"2019-12-01";271
24;"CA-2019-100468";"2019-11-24";"2019-12-01";"Standard Class";33.52;2;3.352;"Low";10;1647;58;"2019-11-24";"2019-12-01";271
25;"CA-2019-100510";"2019-05-12";"2019-05-17";"Standard Class";10.02;3;4.4088;"Low";11;150;321;"2019-05-12";"2019-05-17";327
26;"CA-2019-100510";"2019-05-12";"2019-05-17";"Standard Class";631.96;4;303.3408;"Low";11;1674;321;"2019-05-12";"2019-05-17";327
27;"CA-2019-100587";"2019-12-10";"2019-12-14";"Standard Class";6.48;1;3.1104;"Low";12;1234;680;"2019-12-10";"2019-12-14";327
28;"CA-2019-100671";"2019-11-01";"2019-11-04";"First Class";111.672;9;6.9795;"Medium";13;1378;178;"2019-11-01";"2019-11-04";95
29;"CA-2019-100671";"2019-11-01";"2019-11-04";"First Class";111.672;9;6.9795;"Medium";13;1379;178;"2019-11-01";"2019-11-04";95
30;"CA-2019-100790";"2019-06-26";"2019-07-02";"Standard Class";14.7;5;6.615;"Medium";14;547;358;"2019-06-26";"2019-07-02";327
31;"CA-2019-100790";"2019-06-26";"2019-07-02";"Standard Class";704.25;5;84.51;"Medium";14;1274;358;"2019-06-26";"2019-07-02";327
32;"CA-2019-100944";"2019-09-24";"2019-09-28";"Standard Class";304.9;5;143.303;"Medium";15;836;253;"2019-09-24";"2019-09-28";271
33;"CA-2019-100944";"2019-09-24";"2019-09-28";"Standard Class";563.24;5;56.324;"Medium";15;63;253;"2019-09-24";"2019-09-28";271
34;"CA-2019-100965";"2019-07-07";"2019-07-11";"Standard Class";215.65;5;73.321;"Medium";16;238;632;"2019-07-07";"2019-07-11";434
35;"CA-2019-100993";"2019-02-05";"2019-02-10";"Standard Class";159.968;4;-31.9936;"Low";17;1653;63;"2019-02-05";"2019-02-10";432
36;"CA-2019-100993";"2019-02-05";"2019-02-10";"Standard Class";14.73;3;7.2177;"Low";17;959;63;"2019-02-05";"2019-02-10";432
37;"CA-2019-100993";"2019-02-05";"2019-02-10";"Standard Class";557.728;4;6.9716;"Low";17;319;63;"2019-02-05";"2019-02-10";432
38;"CA-2019-100993";"2019-02-05";"2019-02-10";"Standard Class";186.54;3;50.3658;"Low";17;1371;63;"2019-02-05";"2019-02-10";432
39;"CA-2019-101161";"2019-10-13";"2019-10-20";"Standard Class";37.94;2;18.2112;"Low";18;1067;118;"2019-10-13";"2019-10-20";327
40;"CA-2019-101161";"2019-10-13";"2019-10-20";"Standard Class";34.7;5;12.492;"Medium";18;514;118;"2019-10-13";"2019-10-20";327
41;"CA-2019-101161";"2019-10-13";"2019-10-20";"Standard Class";82.26;3;33.7266;"Low";18;251;118;"2019-10-13";"2019-10-20";327
42;"CA-2019-101161";"2019-10-13";"2019-10-20";"Standard Class";99.87;3;23.9688;"Low";18;1344;118;"2019-10-13";"2019-10-20";327
43;"CA-2019-101161";"2019-10-13";"2019-10-20";"Standard Class";24.9;5;11.454;"Medium";18;922;118;"2019-10-13";"2019-10-20";327
44;"CA-2019-101168";"2019-12-25";"2020-01-01";"Standard Class";21.12;4;6.5472;"Low";19;241;695;"2019-12-25";"2020-01-01";322
45;"CA-2019-101189";"2019-02-04";"2019-02-09";"Standard Class";93.02;2;3.7208;"Low";20;1367;333;"2019-02-04";"2019-02-09";271
46;"CA-2019-101329";"2019-04-22";"2019-04-29";"Standard Class";2.88;1;0.8064;"Low";21;554;513;"2019-04-22";"2019-04-29";410
47;"CA-2019-101329";"2019-04-22";"2019-04-29";"Standard Class";32.13;9;8.3538;"Medium";21;474;513;"2019-04-22";"2019-04-29";410
48;"CA-2019-101336";"2019-11-13";"2019-11-18";"Standard Class";77.55;5;20.163;"Medium";22;1352;149;"2019-11-13";"2019-11-18";327
49;"CA-2019-101336";"2019-11-13";"2019-11-18";"Standard Class";24.88;2;6.9664;"Low";22;1279;149;"2019-11-13";"2019-11-18";327
50;"CA-2019-101336";"2019-11-13";"2019-11-18";"Standard Class";140.75;5;39.41;"Medium";22;568;149;"2019-11-13";"2019-11-18";327
51;"CA-2019-101336";"2019-11-13";"2019-11-18";"Standard Class";36.63;3;9.8901;"Low";22;1369;149;"2019-11-13";"2019-11-18";327
52;"CA-2019-101343";"2019-07-17";"2019-07-22";"Standard Class";77.88;2;3.894;"Low";23;1354;602;"2019-07-17";"2019-07-22";271
53;"CA-2019-101378";"2019-07-14";"2019-07-14";"Same Day";29.0;2;7.25;"Low";24;1483;629;"2019-07-14";"2019-07-14";211
54;"CA-2019-101385";"2019-09-25";"2019-10-01";"Standard Class";16.56;4;6.9552;"Low";25;597;402;"2019-09-25";"2019-10-01";433
55;"CA-2019-101448";"2019-02-27";"2019-03-01";"Second Class";56.82;3;28.41;"Low";26;814;246;"2019-02-27";"2019-03-01";234
56;"CA-2019-101469";"2019-07-02";"2019-07-08";"Standard Class";7.7;2;3.157;"Low";27;586;419;"2019-07-02";"2019-07-08";16
57;"CA-2019-101525";"2019-05-01";"2019-05-04";"Second Class";109.92;2;53.8608;"Low";28;1073;158;"2019-05-01";"2019-05-04";263
58;"CA-2019-101525";"2019-05-01";"2019-05-04";"Second Class";19.44;3;9.3312;"Low";28;1203;158;"2019-05-01";"2019-05-04";263
59;"CA-2019-101525";"2019-05-01";"2019-05-04";"Second Class";11.16;2;4.3524;"Low";28;478;158;"2019-05-01";"2019-05-04";263
60;"CA-2019-101546";"2019-12-18";"2019-12-24";"Standard Class";1793.98;2;843.1706;"Low";29;668;298;"2019-12-18";"2019-12-24";315
61;"CA-2019-101623";"2019-02-28";"2019-03-06";"Standard Class";36.48;6;18.24;"Medium";30;908;640;"2019-02-28";"2019-03-06";327
62;"CA-2019-101630";"2019-02-19";"2019-02-23";"Second Class";25.71;3;6.6846;"Low";31;1394;149;"2019-02-19";"2019-02-23";267
63;"CA-2019-101630";"2019-02-19";"2019-02-23";"Second Class";8.67;3;4.0749;"Low";31;976;149;"2019-02-19";"2019-02-23";267
64;"CA-2019-101651";"2019-12-24";"2019-12-30";"Standard Class";43.96;7;18.4632;"Medium";32;165;655;"2019-12-24";"2019-12-30";434
65;"CA-2019-101651";"2019-12-24";"2019-12-30";"Standard Class";39.76;7;18.6872;"Medium";32;841;655;"2019-12-24";"2019-12-30";434
66;"CA-2019-101672";"2019-10-03";"2019-10-07";"Standard Class";915.136;4;102.9528;"Low";33;116;186;"2019-10-03";"2019-10-07";242
67;"CA-2019-101672";"2019-10-03";"2019-10-07";"Standard Class";6.16;2;2.9568;"Low";33;946;186;"2019-10-03";"2019-10-07";242
68;"CA-2019-101672";"2019-10-03";"2019-10-07";"Standard Class";8.56;2;3.852;"Low";33;1235;186;"2019-10-03";"2019-10-07";242
69;"CA-2019-101672";"2019-10-03";"2019-10-07";"Standard Class";97.82;2;45.9754;"Low";33;1102;186;"2019-10-03";"2019-10-07";242
70;"CA-2019-101693";"2019-06-25";"2019-06-27";"Second Class";85.246;2;-6.089;"Low";34;65;444;"2019-06-25";"2019-06-27";209
71;"CA-2019-101693";"2019-06-25";"2019-06-27";"Second Class";85.246;2;-6.089;"Low";34;64;444;"2019-06-25";"2019-06-27";209
72;"CA-2019-101693";"2019-06-25";"2019-06-27";"Second Class";32.712;2;-26.1696;"Low";34;269;444;"2019-06-25";"2019-06-27";209
73;"CA-2019-101742";"2019-09-23";"2019-09-28";"Second Class";10.528;7;3.6848;"Medium";35;786;165;"2019-09-23";"2019-09-28";327
74;"CA-2019-101791";"2019-05-27";"2019-05-31";"Standard Class";5.584;2;-1.6752;"Low";36;212;107;"2019-05-27";"2019-05-31";72
75;"CA-2019-101791";"2019-05-27";"2019-05-31";"Standard Class";25.176;3;-33.3582;"Low";36;243;107;"2019-05-27";"2019-05-31";72
76;"CA-2019-101791";"2019-05-27";"2019-05-31";"Standard Class";25.176;3;-33.3582;"Low";37;243;107;"2019-05-27";"2019-05-31";72
77;"CA-2019-101791";"2019-05-27";"2019-05-31";"Standard Class";1297.368;9;97.3026;"Medium";37;1303;107;"2019-05-27";"2019-05-31";72
78;"CA-2019-101791";"2019-05-27";"2019-05-31";"Standard Class";1297.368;9;97.3026;"Medium";36;1303;107;"2019-05-27";"2019-05-31";72
79;"CA-2019-101791";"2019-05-27";"2019-05-31";"Standard Class";5.584;2;-1.6752;"Low";37;212;107;"2019-05-27";"2019-05-31";72
80;"CA-2019-101938";"2019-01-07";"2019-01-12";"Standard Class";34.58;1;10.0282;"Low";38;572;238;"2019-01-07";"2019-01-12";339
81;"CA-2019-101966";"2019-07-14";"2019-07-16";"Second Class";419.944;7;52.493;"Medium";39;1731;93;"2019-07-14";"2019-07-16";209
82;"CA-2019-101980";"2019-08-19";"2019-08-20";"First Class";25.32;5;9.1785;"Medium";40;750;637;"2019-08-19";"2019-08-20";327
83;"CA-2019-101980";"2019-08-19";"2019-08-20";"First Class";146.688;6;55.008;"Medium";40;639;637;"2019-08-19";"2019-08-20";327
84;"CA-2019-101980";"2019-08-19";"2019-08-20";"First Class";276.784;2;89.9548;"Low";40;793;637;"2019-08-19";"2019-08-20";327
85;"CA-2019-101987";"2019-06-24";"2019-06-30";"Standard Class";440.91;9;123.4548;"Medium";41;1648;320;"2019-06-24";"2019-06-30";400
86;"CA-2019-102092";"2019-12-09";"2019-12-11";"First Class";1056.86;7;158.529;"Medium";42;335;584;"2019-12-09";"2019-12-11";458
87;"CA-2019-102127";"2019-06-26";"2019-07-02";"Standard Class";37.74;3;12.8316;"Low";43;271;765;"2019-06-26";"2019-07-02";327
88;"CA-2019-102127";"2019-06-26";"2019-07-02";"Standard Class";139.96;4;9.7972;"Low";43;1427;765;"2019-06-26";"2019-07-02";327
89;"CA-2019-102127";"2019-06-26";"2019-07-02";"Standard Class";20.97;3;9.0171;"Low";43;1471;765;"2019-06-26";"2019-07-02";327
90;"CA-2019-102134";"2019-03-14";"2019-03-19";"Standard Class";16.74;2;4.3524;"Low";44;259;688;"2019-03-14";"2019-03-19";181
91;"CA-2019-102162";"2019-09-11";"2019-09-16";"Standard Class";11.09;1;5.4341;"Low";45;843;355;"2019-09-11";"2019-09-16";330
92;"CA-2019-102162";"2019-09-11";"2019-09-16";"Standard Class";1599.92;8;751.9624;"Medium";45;1557;355;"2019-09-11";"2019-09-16";330
93;"CA-2019-102456";"2019-02-27";"2019-03-01";"First Class";170.88;3;49.5552;"Low";46;449;214;"2019-02-27";"2019-03-01";327
94;"CA-2019-102498";"2019-07-24";"2019-07-25";"First Class";73.2;5;21.228;"Medium";47;598;356;"2019-07-24";"2019-07-25";239
95;"CA-2019-102561";"2019-07-18";"2019-07-22";"Standard Class";11.264;8;1.2672;"Medium";48;505;553;"2019-07-18";"2019-07-22";371
96;"CA-2019-102561";"2019-07-18";"2019-07-22";"Standard Class";284.08;10;24.857;"High";48;1301;553;"2019-07-18";"2019-07-22";371
97;"CA-2019-102561";"2019-07-18";"2019-07-22";"Standard Class";18.496;4;6.7048;"Low";48;1247;553;"2019-07-18";"2019-07-22";371
98;"CA-2019-102596";"2019-12-27";"2019-12-30";"First Class";17.184;6;6.2292;"Medium";49;882;619;"2019-12-27";"2019-12-30";3
99;"CA-2019-102792";"2019-12-13";"2019-12-19";"Standard Class";9.84;3;3.2472;"Low";50;607;336;"2019-12-13";"2019-12-19";403
100;"CA-2019-102813";"2019-07-02";"2019-07-03";"First Class";528.43;5;0.0;"Medium";51;58;241;"2019-07-02";"2019-07-03";212
101;"CA-2019-102813";"2019-07-02";"2019-07-03";"First Class";41.472;8;14.5152;"Medium";51;1024;241;"2019-07-02";"2019-07-03";212
102;"CA-2019-102932";"2019-09-19";"2019-09-23";"Second Class";25.44;6;12.72;"Medium";52;640;665;"2019-09-19";"2019-09-23";348
103;"CA-2019-102932";"2019-09-19";"2019-09-23";"Second Class";27.93;3;8.0997;"Low";52;1383;665;"2019-09-19";"2019-09-23";348
104;"CA-2019-102981";"2019-09-06";"2019-09-09";"Second Class";31.86;2;11.151;"Low";53;1544;517;"2019-09-06";"2019-09-09";327
105;"CA-2019-102981";"2019-09-06";"2019-09-09";"Second Class";722.352;3;90.294;"Low";53;13;517;"2019-09-06";"2019-09-09";327
106;"CA-2019-103037";"2019-07-25";"2019-07-29";"Standard Class";15.712;4;5.6956;"Low";54;974;421;"2019-07-25";"2019-07-29";209
107;"CA-2019-103107";"2019-07-04";"2019-07-04";"Same Day";71.976;3;8.997;"Low";55;1706;608;"2019-07-04";"2019-07-04";443
108;"CA-2019-103107";"2019-07-04";"2019-07-04";"Same Day";25.4;5;8.636;"Medium";55;142;608;"2019-07-04";"2019-07-04";443
109;"CA-2019-103107";"2019-07-04";"2019-07-04";"Same Day";177.48;3;19.9665;"Low";55;1644;608;"2019-07-04";"2019-07-04";443
110;"CA-2019-103128";"2019-11-11";"2019-11-15";"Standard Class";14.112;6;1.2348;"Medium";56;559;664;"2019-11-11";"2019-11-15";17
111;"CA-2019-103163";"2019-06-07";"2019-06-11";"Standard Class";4.784;1;1.5548;"Low";57;745;283;"2019-06-07";"2019-06-11";29
112;"CA-2019-103163";"2019-06-07";"2019-06-11";"Standard Class";4.73;1;2.3177;"Low";57;1206;283;"2019-06-07";"2019-06-11";29
113;"CA-2019-103359";"2019-12-22";"2019-12-26";"Standard Class";25.584;2;8.9544;"Low";58;790;440;"2019-12-22";"2019-12-26";327
114;"CA-2019-103464";"2019-11-18";"2019-11-22";"Standard Class";595.0;5;95.2;"Medium";59;1495;576;"2019-11-18";"2019-11-22";432
115;"CA-2019-103709";"2019-09-08";"2019-09-15";"Standard Class";261.74;2;65.435;"Low";60;1292;457;"2019-09-08";"2019-09-15";492
116;"CA-2019-103709";"2019-09-08";"2019-09-15";"Standard Class";34.24;8;15.408;"Medium";60;1235;457;"2019-09-08";"2019-09-15";492
117;"CA-2019-103709";"2019-09-08";"2019-09-15";"Standard Class";14.88;2;3.72;"Low";60;557;457;"2019-09-08";"2019-09-15";492
118;"CA-2019-103730";"2019-06-12";"2019-06-15";"First Class";30.84;4;13.878;"Low";61;771;661;"2019-06-12";"2019-06-15";511
119;"CA-2019-103730";"2019-06-12";"2019-06-15";"First Class";47.04;3;18.3456;"Low";61;211;661;"2019-06-12";"2019-06-15";511
120;"CA-2019-103730";"2019-06-12";"2019-06-15";"First Class";68.04;7;19.7316;"Medium";61;1745;661;"2019-06-12";"2019-06-15";511
121;"CA-2019-103730";"2019-06-12";"2019-06-15";"First Class";115.02;9;51.759;"Medium";61;844;661;"2019-06-12";"2019-06-15";511
122;"CA-2019-103730";"2019-06-12";"2019-06-15";"First Class";226.56;6;63.4368;"Medium";61;1277;661;"2019-06-12";"2019-06-15";511
123;"CA-2019-103891";"2019-07-12";"2019-07-19";"Standard Class";95.76;6;7.182;"Medium";62;1617;422;"2019-07-12";"2019-07-19";271
124;"CA-2019-103919";"2019-10-03";"2019-10-07";"Standard Class";38.08;5;-29.512;"Medium";63;193;740;"2019-10-03";"2019-10-07";176
125;"CA-2019-103947";"2019-04-01";"2019-04-08";"Standard Class";31.56;5;9.8625;"Medium";64;905;64;"2019-04-01";"2019-04-08";446
126;"CA-2019-103947";"2019-04-01";"2019-04-08";"Standard Class";30.144;2;3.0144;"Low";64;413;64;"2019-04-01";"2019-04-08";446
127;"CA-2019-103982";"2019-03-03";"2019-03-08";"Standard Class";3930.072;3;-786.0144;"Low";65;1381;1;"2019-03-03";"2019-03-08";415
128;"CA-2019-103982";"2019-03-03";"2019-03-08";"Standard Class";431.976;3;32.3982;"Low";65;1637;1;"2019-03-03";"2019-03-08";415
129;"CA-2019-103982";"2019-03-03";"2019-03-08";"Standard Class";41.72;7;5.7365;"Medium";65;1496;1;"2019-03-03";"2019-03-08";415
130;"CA-2019-103982";"2019-03-03";"2019-03-08";"Standard Class";2.304;1;0.7776;"Low";65;890;1;"2019-03-03";"2019-03-08";415
131;"CA-2019-104150";"2019-08-03";"2019-08-05";"Second Class";81.54;3;38.3238;"Low";66;845;21;"2019-08-03";"2019-08-05";482
132;"CA-2019-104150";"2019-08-03";"2019-08-05";"Second Class";167.28;12;23.4192;"High";66;1545;21;"2019-08-03";"2019-08-05";482
133;"CA-2019-104157";"2019-07-25";"2019-07-29";"Standard Class";2430.08;8;388.8128;"Medium";67;366;530;"2019-07-25";"2019-07-29";219
134;"CA-2019-104157";"2019-07-25";"2019-07-29";"Standard Class";7.89;1;0.3156;"Low";67;1258;530;"2019-07-25";"2019-07-29";219
135;"CA-2019-104157";"2019-07-25";"2019-07-29";"Standard Class";65.5;5;32.095;"Medium";67;1237;530;"2019-07-25";"2019-07-29";219
136;"CA-2019-104276";"2019-11-27";"2019-12-03";"Standard Class";331.023;7;-114.3534;"Medium";68;317;313;"2019-11-27";"2019-12-03";156
137;"CA-2019-104276";"2019-11-27";"2019-12-03";"Standard Class";116.76;1;14.595;"Low";68;1678;313;"2019-11-27";"2019-12-03";156
138;"CA-2019-104311";"2019-05-02";"2019-05-06";"Standard Class";18.936;3;-3.7872;"Low";69;1258;52;"2019-05-02";"2019-05-06";217
139;"CA-2019-104311";"2019-05-02";"2019-05-06";"Standard Class";12.672;3;-3.168;"Low";69;1341;52;"2019-05-02";"2019-05-06";217
140;"CA-2019-104311";"2019-05-02";"2019-05-06";"Standard Class";5.04;2;1.764;"Low";69;928;52;"2019-05-02";"2019-05-06";217
141;"CA-2019-104633";"2019-06-12";"2019-06-16";"Standard Class";185.88;6;83.646;"Medium";70;1001;241;"2019-06-12";"2019-06-16";359
142;"CA-2019-104633";"2019-06-12";"2019-06-16";"Standard Class";12.96;2;6.2208;"Low";70;1242;241;"2019-06-12";"2019-06-16";359
143;"CA-2019-104689";"2019-12-01";"2019-12-05";"Standard Class";23.04;8;6.912;"Medium";71;491;281;"2019-12-01";"2019-12-05";271
144;"CA-2019-104969";"2019-04-08";"2019-04-14";"Standard Class";121.104;6;-100.92;"Medium";72;788;257;"2019-04-08";"2019-04-14";480
145;"CA-2019-104969";"2019-04-08";"2019-04-14";"Standard Class";8.872;1;3.2161;"Low";72;843;257;"2019-04-08";"2019-04-14";480
146;"CA-2019-104983";"2019-07-03";"2019-07-03";"Same Day";123.92;5;38.725;"Medium";73;995;282;"2019-07-03";"2019-07-03";371
147;"CA-2019-105018";"2019-11-28";"2019-12-02";"Standard Class";7.16;2;3.4368;"Low";74;690;679;"2019-11-28";"2019-12-02";146
148;"CA-2019-105081";"2019-12-25";"2019-12-30";"Standard Class";698.352;3;52.3764;"Low";75;61;347;"2019-12-25";"2019-12-30";443
149;"CA-2019-105081";"2019-12-25";"2019-12-30";"Standard Class";1747.25;5;629.01;"Medium";75;320;347;"2019-12-25";"2019-12-30";443
150;"CA-2019-105207";"2019-01-03";"2019-01-08";"Standard Class";11.88;2;5.346;"Low";76;796;96;"2019-01-03";"2019-01-08";49
151;"CA-2019-105207";"2019-01-03";"2019-01-08";"Standard Class";1592.85;7;350.427;"Medium";76;314;96;"2019-01-03";"2019-01-08";49
152;"CA-2019-105256";"2019-05-20";"2019-05-20";"Same Day";1363.96;5;85.2475;"Medium";77;1659;370;"2019-05-20";"2019-05-20";19
153;"CA-2019-105256";"2019-05-20";"2019-05-20";"Same Day";1363.96;5;85.2475;"Medium";77;1658;370;"2019-05-20";"2019-05-20";19
154;"CA-2019-105263";"2019-08-06";"2019-08-11";"Standard Class";38.34;9;15.7194;"Medium";78;536;454;"2019-08-06";"2019-08-11";327
155;"CA-2019-105277";"2019-12-04";"2019-12-08";"Standard Class";15.528;3;5.823;"Low";79;626;454;"2019-12-04";"2019-12-08";24
156;"CA-2019-105284";"2019-11-24";"2019-12-01";"Standard Class";4.416;3;1.6008;"Low";80;892;490;"2019-11-24";"2019-12-01";371
157;"CA-2019-105291";"2019-10-30";"2019-11-04";"Standard Class";3.62;2;1.1946;"Low";81;904;692;"2019-10-30";"2019-11-04";435
158;"CA-2019-105354";"2019-12-02";"2019-12-06";"Standard Class";115.84;8;54.4448;"Medium";82;657;598;"2019-12-02";"2019-12-06";284
159;"CA-2019-105459";"2019-08-12";"2019-08-17";"Second Class";209.148;2;-66.2302;"Low";83;319;560;"2019-08-12";"2019-08-17";327
160;"CA-2019-105459";"2019-08-12";"2019-08-17";"Second Class";1591.02;6;286.3836;"Medium";83;1254;560;"2019-08-12";"2019-08-17";327
161;"CA-2019-105473";"2019-04-16";"2019-04-18";"Second Class";28.8;3;0.864;"Low";84;1406;93;"2019-04-16";"2019-04-18";443
162;"CA-2019-105494";"2019-11-10";"2019-11-12";"First Class";70.008;3;24.5028;"Low";85;749;573;"2019-11-10";"2019-11-12";433
163;"CA-2019-105494";"2019-11-10";"2019-11-12";"First Class";155.82;7;42.0714;"Medium";85;1320;573;"2019-11-10";"2019-11-12";433
164;"CA-2019-105585";"2019-08-26";"2019-08-27";"First Class";10.23;3;4.9104;"Low";86;901;624;"2019-08-26";"2019-08-27";434
165;"CA-2019-105585";"2019-08-26";"2019-08-27";"First Class";154.9;5;69.705;"Medium";86;1185;624;"2019-08-26";"2019-08-27";434
166;"CA-2019-105662";"2019-05-05";"2019-05-09";"Standard Class";93.248;4;31.4712;"Low";87;1052;608;"2019-05-05";"2019-05-09";465
167;"CA-2019-105662";"2019-05-05";"2019-05-09";"Standard Class";177.48;3;19.9665;"Low";87;1644;608;"2019-05-05";"2019-05-09";465
168;"CA-2019-105732";"2019-09-13";"2019-09-18";"Standard Class";149.95;5;41.986;"Medium";88;1666;19;"2019-09-13";"2019-09-18";346
169;"CA-2019-105732";"2019-09-13";"2019-09-18";"Standard Class";16.9;2;5.07;"Low";88;1416;19;"2019-09-13";"2019-09-18";346
170;"CA-2019-105732";"2019-09-13";"2019-09-18";"Standard Class";17.61;3;8.4528;"Low";88;1127;19;"2019-09-13";"2019-09-18";346
171;"CA-2019-105732";"2019-09-13";"2019-09-18";"Standard Class";378.0;2;136.08;"Low";88;397;19;"2019-09-13";"2019-09-18";346
172;"CA-2019-105732";"2019-09-13";"2019-09-18";"Standard Class";17.64;3;8.6436;"Low";88;1099;19;"2019-09-13";"2019-09-18";346
173;"CA-2019-105732";"2019-09-13";"2019-09-18";"Standard Class";373.08;6;100.7316;"Medium";88;1371;19;"2019-09-13";"2019-09-18";346
174;"CA-2019-105732";"2019-09-13";"2019-09-18";"Standard Class";1336.44;14;387.5676;"High";88;256;19;"2019-09-13";"2019-09-18";346
175;"CA-2019-105732";"2019-09-13";"2019-09-18";"Standard Class";29.97;3;0.2997;"Low";88;1778;19;"2019-09-13";"2019-09-18";346
176;"CA-2019-105732";"2019-09-13";"2019-09-18";"Standard Class";40.74;3;0.4074;"Low";88;1261;19;"2019-09-13";"2019-09-18";346
177;"CA-2019-105732";"2019-09-13";"2019-09-18";"Standard Class";14.4;5;7.056;"Medium";88;980;19;"2019-09-13";"2019-09-18";346
178;"CA-2019-105746";"2019-12-30";"2020-01-01";"First Class";170.786;1;0.0;"Low";89;54;70;"2019-12-30";"2020-01-01";250
179;"CA-2019-105753";"2019-10-20";"2019-10-26";"Standard Class";61.1;5;18.33;"Medium";90;144;442;"2019-10-20";"2019-10-26";16
180;"CA-2019-105760";"2019-06-19";"2019-06-20";"First Class";17.12;2;8.0464;"Low";91;1012;409;"2019-06-19";"2019-06-20";433
181;"CA-2019-105781";"2019-02-16";"2019-02-20";"Standard Class";326.646;3;39.9234;"Low";92;75;355;"2019-02-16";"2019-02-20";327
182;"CA-2019-105781";"2019-02-16";"2019-02-20";"Standard Class";89.97;3;39.5868;"Low";92;1519;355;"2019-02-16";"2019-02-20";327
183;"CA-2019-105816";"2019-12-11";"2019-12-17";"Standard Class";1029.95;5;298.6855;"Medium";93;1698;380;"2019-12-11";"2019-12-17";327
184;"CA-2019-105816";"2019-12-11";"2019-12-17";"Standard Class";15.26;7;6.2566;"Medium";93;878;380;"2019-12-11";"2019-12-17";327
185;"CA-2019-105900";"2019-09-17";"2019-09-23";"Standard Class";33.4;5;12.358;"Medium";94;540;106;"2019-09-17";"2019-09-23";89
186;"CA-2019-105963";"2019-11-15";"2019-11-22";"Standard Class";99.39;3;40.7499;"Low";95;1522;662;"2019-11-15";"2019-11-22";271
