"product_id";"sku";"category";"sub_category";"product_name";"brand"
82;"FUR-CH-10002073";"Furniture";"Chairs";"Hon Olson Stacker Chairs";"Hon"
83;"FUR-CH-10002084";"Furniture";"Chairs";"Hon Mobius Operator's Chair";"Hon"
84;"FUR-CH-10002126";"Furniture";"Chairs";"Hon Deluxe Fabric Upholstered Stacking Chairs";"Hon"
85;"FUR-CH-10002304";"Furniture";"Chairs";"Global Stack Chair without Arms, Black";"Global"
86;"FUR-CH-10002317";"Furniture";"Chairs";"Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs";"Global"
87;"FUR-CH-10002320";"Furniture";"Chairs";"Hon Pagoda Stacking Chairs";"Hon"
88;"FUR-CH-10002331";"Furniture";"Chairs";"Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms";"Hon"
89;"FUR-CH-10002335";"Furniture";"Chairs";"Hon GuestStacker Chair";"Hon"
90;"FUR-CH-10002372";"Furniture";"Chairs";"Office Star - Ergonomically Designed Knee Chair";"Office"
91;"FUR-CH-10002439";"Furniture";"Chairs";"Iceberg Nesting Folding Chair, 19w x 6d x 43h";"Iceberg"
92;"FUR-CH-10002602";"Furniture";"Chairs";"DMI Arturo Collection Mission-style Design Wood Chair";"DMI"
93;"FUR-CH-10002647";"Furniture";"Chairs";"Situations Contoured Folding Chairs, 4/Set";"Situations"
94;"FUR-CH-10002774";"Furniture";"Chairs";"Global Deluxe Stacking Chair, Gray";"Global"
95;"FUR-CH-10002780";"Furniture";"Chairs";"Office Star - Task Chair with Contemporary Loop Arms";"Office"
96;"FUR-CH-10002880";"Furniture";"Chairs";"Global High-Back Leather Tilter, Burgundy";"Global"
97;"FUR-CH-10002961";"Furniture";"Chairs";"Leather Task Chair, Black";"Leather"
98;"FUR-CH-10002965";"Furniture";"Chairs";"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black";"Global"
99;"FUR-CH-10003061";"Furniture";"Chairs";"Global Leather Task Chair, Black";"Global"
100;"FUR-CH-10003199";"Furniture";"Chairs";"Office Star - Contemporary Task Swivel Chair";"Office"
101;"FUR-CH-10003298";"Furniture";"Chairs";"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal";"Office"
102;"FUR-CH-10003312";"Furniture";"Chairs";"Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs";"Hon"
103;"FUR-CH-10003379";"Furniture";"Chairs";"Global Commerce Series High-Back Swivel/Tilt Chairs";"Global"
104;"FUR-CH-10003396";"Furniture";"Chairs";"Global Deluxe Steno Chair";"Global"
105;"FUR-CH-10003535";"Furniture";"Chairs";"Global Armless Task Chair, Royal Blue";"Global"
106;"FUR-CH-10003606";"Furniture";"Chairs";"SAFCO Folding Chair Trolley";"SAFCO"
107;"FUR-CH-10003746";"Furniture";"Chairs";"Hon 4070 Series Pagoda Round Back Stacking Chairs";"Hon"
108;"FUR-CH-10003774";"Furniture";"Chairs";"Global Wood Trimmed Manager's Task Chair, Khaki";"Global"
109;"FUR-CH-10003817";"Furniture";"Chairs";"Global Value Steno Chair, Gray";"Global"
110;"FUR-CH-10003833";"Furniture";"Chairs";"Novimex Fabric Task Chair";"Novimex"
111;"FUR-CH-10003846";"Furniture";"Chairs";"Hon Valutask Swivel Chairs";"Hon"
112;"FUR-CH-10003956";"Furniture";"Chairs";"Novimex High-Tech Fabric Mesh Task Chair";"Novimex"
113;"FUR-CH-10003968";"Furniture";"Chairs";"Novimex Turbo Task Chair";"Novimex"
114;"FUR-CH-10003973";"Furniture";"Chairs";"GuestStacker Chair with Chrome Finish Legs";"GuestStacker"
115;"FUR-CH-10003981";"Furniture";"Chairs";"Global Commerce Series Low-Back Swivel/Tilt Chairs";"Global"
116;"FUR-CH-10004063";"Furniture";"Chairs";"Global Deluxe High-Back Manager's Chair";"Global"
117;"FUR-CH-10004086";"Furniture";"Chairs";"Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs";"Hon"
118;"FUR-CH-10004218";"Furniture";"Chairs";"Global Fabric Manager's Chair, Dark Gray";"Global"
119;"FUR-CH-10004287";"Furniture";"Chairs";"SAFCO Arco Folding Chair";"SAFCO"
120;"FUR-CH-10004289";"Furniture";"Chairs";"Global Super Steno Chair";"Global"
121;"FUR-CH-10004477";"Furniture";"Chairs";"Global Push Button Manager's Chair, Indigo";"Global"
122;"FUR-CH-10004495";"Furniture";"Chairs";"Global Leather and Oak Executive Chair, Black";"Global"
123;"FUR-CH-10004540";"Furniture";"Chairs";"Global Chrome Stack Chair";"Global"
124;"FUR-CH-10004626";"Furniture";"Chairs";"Office Star Flex Back Scooter Chair with Aluminum Finish Frame";"Office"
125;"FUR-CH-10004675";"Furniture";"Chairs";"Lifetime Advantage Folding Chairs, 4/Carton";"Lifetime"
126;"FUR-CH-10004698";"Furniture";"Chairs";"Padded Folding Chairs, Black, 4/Carton";"Padded"
127;"FUR-CH-10004754";"Furniture";"Chairs";"Global Stack Chair with Arms, Black";"Global"
128;"FUR-CH-10004853";"Furniture";"Chairs";"Global Manager's Adjustable Task Chair, Storm";"Global"
129;"FUR-CH-10004860";"Furniture";"Chairs";"Global Low Back Tilter Chair";"Global"
130;"FUR-CH-10004875";"Furniture";"Chairs";"Harbour Creations 67200 Series Stacking Chairs";"Harbour"
131;"FUR-CH-10004886";"Furniture";"Chairs";"Bevis Steel Folding Chairs";"Bevis"
132;"FUR-CH-10004983";"Furniture";"Chairs";"Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms";"Office"
133;"FUR-CH-10004997";"Furniture";"Chairs";"Hon Every-Day Series Multi-Task Chairs";"Hon"
134;"FUR-FU-10000010";"Furniture";"Furnishings";"DAX Value U-Channel Document Frames, Easel Back";"DAX"
135;"FUR-FU-10000023";"Furniture";"Furnishings";"Eldon Wave Desk Accessories";"Eldon"
136;"FUR-FU-10000073";"Furniture";"Furnishings";"Deflect-O Glasstique Clear Desk Accessories";"Deflect-O"
137;"FUR-FU-10000076";"Furniture";"Furnishings";"24-Hour Round Wall Clock";"24-Hour"
138;"FUR-FU-10000087";"Furniture";"Furnishings";"Executive Impressions 14"" Two-Color Numerals Wall Clock";"Executive"
139;"FUR-FU-10000175";"Furniture";"Furnishings";"DAX Wood Document Frame.";"DAX"
140;"FUR-FU-10000193";"Furniture";"Furnishings";"Tenex Chairmats For Use with Hard Floors";"Tenex"
141;"FUR-FU-10000206";"Furniture";"Furnishings";"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs";"GE"
142;"FUR-FU-10000221";"Furniture";"Furnishings";"Master Caster Door Stop, Brown";"Master"
143;"FUR-FU-10000222";"Furniture";"Furnishings";"Seth Thomas 16"" Steel Case Clock";"Seth"
144;"FUR-FU-10000246";"Furniture";"Furnishings";"Aluminum Document Frame";"Aluminum"
145;"FUR-FU-10000260";"Furniture";"Furnishings";"6"" Cubicle Wall Clock, Black";"6"""
146;"FUR-FU-10000277";"Furniture";"Furnishings";"Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting";"Deflect-o"
147;"FUR-FU-10000293";"Furniture";"Furnishings";"Eldon Antistatic Chair Mats for Low to Medium Pile Carpets";"Eldon"
148;"FUR-FU-10000305";"Furniture";"Furnishings";"Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12""";"Tenex"
149;"FUR-FU-10000308";"Furniture";"Furnishings";"Deflect-o Glass Clear Studded Chair Mats";"Deflect-o"
150;"FUR-FU-10000320";"Furniture";"Furnishings";"OIC Stacking Trays";"OIC"
151;"FUR-FU-10000397";"Furniture";"Furnishings";"Luxo Economy Swing Arm Lamp";"Luxo"
152;"FUR-FU-10000409";"Furniture";"Furnishings";"GE 4 Foot Flourescent Tube, 40 Watt";"GE"
153;"FUR-FU-10000448";"Furniture";"Furnishings";"Tenex Chairmats For Use With Carpeted Floors";"Tenex"
154;"FUR-FU-10000521";"Furniture";"Furnishings";"Seth Thomas 14"" Putty-Colored Wall Clock";"Seth"
155;"FUR-FU-10000550";"Furniture";"Furnishings";"Stacking Trays by OIC";"Stacking"
156;"FUR-FU-10000576";"Furniture";"Furnishings";"Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base";"Luxo"
157;"FUR-FU-10000629";"Furniture";"Furnishings";"9-3/4 Diameter Round Wall Clock";"9-3/4"
158;"FUR-FU-10000672";"Furniture";"Furnishings";"Executive Impressions 10"" Spectator Wall Clock";"Executive"
159;"FUR-FU-10000719";"Furniture";"Furnishings";"DAX Cubicle Frames, 8-1/2 x 11";"DAX"
160;"FUR-FU-10000723";"Furniture";"Furnishings";"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting";"Deflect-o"
161;"FUR-FU-10000732";"Furniture";"Furnishings";"Eldon 200 Class Desk Accessories";"Eldon"
162;"FUR-FU-10000747";"Furniture";"Furnishings";"Tenex B1-RE Series Chair Mats for Low Pile Carpets";"Tenex"
163;"FUR-FU-10000755";"Furniture";"Furnishings";"Eldon Expressions Mahogany Wood Desk Collection";"Eldon"
164;"FUR-FU-10000758";"Furniture";"Furnishings";"DAX Natural Wood-Tone Poster Frame";"DAX"
165;"FUR-FU-10000771";"Furniture";"Furnishings";"Eldon 200 Class Desk Accessories, Smoke";"Eldon"
166;"FUR-FU-10000794";"Furniture";"Furnishings";"Eldon Stackable Tray, Side-Load, Legal, Smoke";"Eldon"
167;"FUR-FU-10000820";"Furniture";"Furnishings";"Tensor Brushed Steel Torchiere Floor Lamp";"Tensor"
168;"FUR-FU-10000965";"Furniture";"Furnishings";"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock";"Howard"
169;"FUR-FU-10001025";"Furniture";"Furnishings";"Eldon Imàge Series Desk Accessories, Clear";"Eldon"
170;"FUR-FU-10001037";"Furniture";"Furnishings";"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7";"DAX"
171;"FUR-FU-10001057";"Furniture";"Furnishings";"Tensor Track Tree Floor Lamp";"Tensor"
172;"FUR-FU-10001085";"Furniture";"Furnishings";"3M Polarizing Light Filter Sleeves";"3M"
173;"FUR-FU-10001095";"Furniture";"Furnishings";"DAX Black Cherry Wood-Tone Poster Frame";"DAX"
174;"FUR-FU-10001185";"Furniture";"Furnishings";"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2";"Advantus"
175;"FUR-FU-10001196";"Furniture";"Furnishings";"DAX Cubicle Frames - 8x10";"DAX"
176;"FUR-FU-10001215";"Furniture";"Furnishings";"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock";"Howard"
177;"FUR-FU-10001290";"Furniture";"Furnishings";"Executive Impressions Supervisor Wall Clock";"Executive"
178;"FUR-FU-10001379";"Furniture";"Furnishings";"Executive Impressions 16-1/2"" Circular Wall Clock";"Executive"
179;"FUR-FU-10001424";"Furniture";"Furnishings";"Dax Clear Box Frame";"Dax"
180;"FUR-FU-10001468";"Furniture";"Furnishings";"Tenex Antistatic Computer Chair Mats";"Tenex"
181;"FUR-FU-10001473";"Furniture";"Furnishings";"DAX Wood Document Frame";"DAX"
182;"FUR-FU-10001473";"Furniture";"Furnishings";"Eldon Executive Woodline II Desk Accessories, Mahogany";"Eldon"
183;"FUR-FU-10001475";"Furniture";"Furnishings";"Contract Clock, 14"", Brown";"Contract"
184;"FUR-FU-10001487";"Furniture";"Furnishings";"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood";"Eldon"
185;"FUR-FU-10001488";"Furniture";"Furnishings";"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped";"Tenex"
186;"FUR-FU-10001546";"Furniture";"Furnishings";"Dana Swing-Arm Lamps";"Dana"
187;"FUR-FU-10001588";"Furniture";"Furnishings";"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black";"Deflect-o"
188;"FUR-FU-10001591";"Furniture";"Furnishings";"Advantus Panel Wall Certificate Holder - 8.5x11";"Advantus"
189;"FUR-FU-10001602";"Furniture";"Furnishings";"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear";"Eldon"
190;"FUR-FU-10001617";"Furniture";"Furnishings";"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock";"Executive"
191;"FUR-FU-10001706";"Furniture";"Furnishings";"Longer-Life Soft White Bulbs";"Longer-Life"
192;"FUR-FU-10001731";"Furniture";"Furnishings";"Acrylic Self-Standing Desk Frames";"Acrylic"
193;"FUR-FU-10001756";"Furniture";"Furnishings";"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany";"Eldon"
194;"FUR-FU-10001847";"Furniture";"Furnishings";"Eldon Image Series Black Desk Accessories";"Eldon"
195;"FUR-FU-10001852";"Furniture";"Furnishings";"Eldon Regeneration Recycled Desk Accessories, Smoke";"Eldon"
196;"FUR-FU-10001861";"Furniture";"Furnishings";"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts";"Floodlight"
197;"FUR-FU-10001867";"Furniture";"Furnishings";"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry";"Eldon"
198;"FUR-FU-10001876";"Furniture";"Furnishings";"Computer Room Manger, 14""";"Computer"
199;"FUR-FU-10001889";"Furniture";"Furnishings";"Ultra Door Pull Handle";"Ultra"
200;"FUR-FU-10001918";"Furniture";"Furnishings";"C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings";"C-Line"
201;"FUR-FU-10001934";"Furniture";"Furnishings";"Magnifier Swing Arm Lamp";"Magnifier"
202;"FUR-FU-10001935";"Furniture";"Furnishings";"3M Hangers With Command Adhesive";"3M"
203;"FUR-FU-10001940";"Furniture";"Furnishings";"Staple-based wall hangings";"Staple-based"
204;"FUR-FU-10001967";"Furniture";"Furnishings";"Telescoping Adjustable Floor Lamp";"Telescoping"
205;"FUR-FU-10001979";"Furniture";"Furnishings";"Dana Halogen Swing-Arm Architect Lamp";"Dana"
206;"FUR-FU-10002030";"Furniture";"Furnishings";"Executive Impressions 14"" Contract Wall Clock with Quartz Movement";"Executive"
207;"FUR-FU-10002045";"Furniture";"Furnishings";"Executive Impressions 14""";"Executive"
208;"FUR-FU-10002088";"Furniture";"Furnishings";"Nu-Dell Float Frame 11 x 14 1/2";"Nu-Dell"
209;"FUR-FU-10002107";"Furniture";"Furnishings";"Eldon Pizzaz Desk Accessories";"Eldon"
210;"FUR-FU-10002116";"Furniture";"Furnishings";"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats";"Tenex"
211;"FUR-FU-10002157";"Furniture";"Furnishings";"Artistic Insta-Plaque";"Artistic"
212;"FUR-FU-10002191";"Furniture";"Furnishings";"G.E. Halogen Desk Lamp Bulbs";"G.E."
213;"FUR-FU-10002253";"Furniture";"Furnishings";"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock";"Howard"
214;"FUR-FU-10002268";"Furniture";"Furnishings";"Ultra Door Push Plate";"Ultra"
215;"FUR-FU-10002298";"Furniture";"Furnishings";"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle";"Rubbermaid"
216;"FUR-FU-10002364";"Furniture";"Furnishings";"Eldon Expressions Wood Desk Accessories, Oak";"Eldon"
217;"FUR-FU-10002396";"Furniture";"Furnishings";"DAX Copper Panel Document Frame, 5 x 7 Size";"DAX"
218;"FUR-FU-10002445";"Furniture";"Furnishings";"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7";"DAX"
219;"FUR-FU-10002456";"Furniture";"Furnishings";"Master Caster Door Stop, Large Neon Orange";"Master"
220;"FUR-FU-10002501";"Furniture";"Furnishings";"Nu-Dell Executive Frame";"Nu-Dell"
221;"FUR-FU-10002505";"Furniture";"Furnishings";"Eldon 100 Class Desk Accessories";"Eldon"
222;"FUR-FU-10002506";"Furniture";"Furnishings";"Tensor ""Hersey Kiss"" Styled Floor Lamp";"Tensor"
223;"FUR-FU-10002508";"Furniture";"Furnishings";"Document Clip Frames";"Document"
224;"FUR-FU-10002554";"Furniture";"Furnishings";"Westinghouse Floor Lamp with Metal Mesh Shade, Black";"Westinghouse"
225;"FUR-FU-10002597";"Furniture";"Furnishings";"C-Line Magnetic Cubicle Keepers, Clear Polypropylene";"C-Line"
226;"FUR-FU-10002671";"Furniture";"Furnishings";"Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp";"Electrix"
227;"FUR-FU-10002685";"Furniture";"Furnishings";"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock";"Executive"
228;"FUR-FU-10002703";"Furniture";"Furnishings";"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""";"Tenex"
229;"FUR-FU-10002759";"Furniture";"Furnishings";"12-1/2 Diameter Round Wall Clock";"12-1/2"
230;"FUR-FU-10002813";"Furniture";"Furnishings";"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size";"DAX"
231;"FUR-FU-10002878";"Furniture";"Furnishings";"Seth Thomas 14"" Day/Date Wall Clock";"Seth"
232;"FUR-FU-10002885";"Furniture";"Furnishings";"Magna Visual Magnetic Picture Hangers";"Magna"
233;"FUR-FU-10002918";"Furniture";"Furnishings";"Eldon ClusterMat Chair Mat with Cordless Antistatic Protection";"Eldon"
234;"FUR-FU-10002937";"Furniture";"Furnishings";"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box";"GE"
235;"FUR-FU-10002960";"Furniture";"Furnishings";"Eldon 200 Class Desk Accessories, Burgundy";"Eldon"
236;"FUR-FU-10002963";"Furniture";"Furnishings";"Master Caster Door Stop, Gray";"Master"
237;"FUR-FU-10003026";"Furniture";"Furnishings";"Eldon Regeneration Recycled Desk Accessories, Black";"Eldon"
238;"FUR-FU-10003039";"Furniture";"Furnishings";"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock";"Howard"
239;"FUR-FU-10003095";"Furniture";"Furnishings";"Linden 12"" Wall Clock With Oak Frame";"Linden"
240;"FUR-FU-10003096";"Furniture";"Furnishings";"Master Giant Foot Doorstop, Safety Yellow";"Master"
241;"FUR-FU-10003142";"Furniture";"Furnishings";"Master Big Foot Doorstop, Beige";"Master"
242;"FUR-FU-10003192";"Furniture";"Furnishings";"Luxo Adjustable Task Clamp Lamp";"Luxo"
